instance_names,utilizations
h100-80gb,0.9780904887532285
h100-80gb,0.9737507736891419
h100-80gb,0.9749308118096034
h100-80gb,0.9658455501965308
h100-80gb,0.9696659919555928
h100-80gb,0.9792602898884825
h100-80gb,0.9722155430601498
h100-80gb,0.9798783205074358
h100-80gb,0.9698136278262957
h100-80gb,0.9784747581042261
h100-80gb,0.9669759587783734
h100-80gb,0.9803180731956288
h100-80gb,0.9778285859826049
h100-80gb,0.969194314399657
h100-80gb,0.9719431696492701
h100-80gb,0.9998128886743503
h100-80gb,0.9902859617644355
h100-80gb,0.9726051225454168
h100-80gb,0.9721972165514703
h100-80gb,0.9746854104111938
h100-80gb,0.9840923946514187
h100-80gb,0.9814733557675123
h100-80gb,0.9714198198751544
h100-80gb,0.971664109075946
h100-80gb,0.9700408743796352
h100-80gb,0.9745811870307188
h100-80gb,0.974217974672847
h100-80gb,0.9906046526717895
h100-80gb,0.9814360600882842
h100-80gb,0.9905417276580052
h100-80gb,0.980279903307308
h100-80gb,0.9691492115961002
h100-80gb,0.9788598250736095
h100-80gb,0.9770509870350842
h100-80gb,0.9793392170997519
h100-80gb,0.9727364752991695
h100-80gb,0.9664261124959606
h100-80gb,0.9702727077850251
h100-80gb,0.9802631298545768
h100-80gb,0.9796752938535497
